user,sysytem
エンジニアに向けたリール動画の台本を作ってください,"✅ フリーランスエンジニアがレイヤーを上げるべき理由

# タイトルコール

フリーランスエンジニアがレイヤーを上げるべき理由

# 問題提起

今フリーランスエンジニアとして案件に行ってる人って
ほとんどが末端の作業者ポジションだと思いますが
それだと収入には天井が来ます。

# 問題拡張

なぜなら作業者ポジションの人に
特別単価高いお金払っても
企業側としてはメリットがないからです。

例えば大谷翔平みたいな
1 人いるだけで試合の勝率をあげれるような選手なら
100 億とか払ってでも欲しいってなりますが

別に一般レベルの選手に対して
めっちゃお金払ったらチームの勝率上がるかって行ったら
そんなことないですよね？

エンジニアもそれと同じです。

あなたに 100 万円払ったらその分

・チーム全体の開発スピードが上がったり
・無駄を改善してコストカットができたり
・企画を考えて売り上げが増えたり

とか何かしらの成果を出せないと
わざわざ相場以上のお金を企業は払いません。

大体作業者エンジニアの単価は 80 万ぐらいが上限になってます。

# 解決策

もしその壁を突破したいないなら
レイヤーをあげて設計を考えたり、チームの効率化を考えたりする
ポジションを狙っていきましょう。

ちなみに僕の単価は 130 万円です。

# CTA

---
"
エンジニアに向けたリール動画の台本を作ってください,"✅ プログラミング勉強しても収入は上がりません

タイトル&問題提起
プログラミングを勉強しても収入は上がりません！

問題の深掘りと煽り
みんな 単価を上げたいと思ったらプログラミングのスキルを増やそうするじゃないですか？ これほんまにみん勘違いしてる

僕自身は
フリーランスなって 1 年ごとに
70 万、100 万、130 万と単価を上げてきたけど
正直言語の勉強なんかほとんどしてない。

(共感)

確かに世の中のエンジニアはプログラミング  勉強しろって言うからそれに影響されてしまうのはわかるけど  言うて単価 5 万、10 万ぐらいしか上がってなくない？

いきなり単価 30 万上がりましたとかってあんまないよね。

別に技術が大好きでで  エンジニアやってる人はそれでいいと思うけど、

収入上げたくてエンジニアなったタイプは
多分そんな技術好きじゃないよね？

インサイト深堀り

このままフリーランスエンジニアの働き方続けても

言うてプログラミング”だけ”で稼ごうと思っても  せいぜい月 80 万円ぐらいが天井やから
もっと違うスキルを身につける必要はあります。

実際僕が一気に単価 130 万まで上がった理由は

開発スキルだけじゃなくて
マーケティングスキル身につけて
お客さんの売り上げやコストカットを
目的に開発ができるようになったからです。

---"
エンジニアに向けたリール動画の台本を作ってください,"✅ 認識合わせの提案を部下からやると評価上がるって話

常識

非常識

# タイトルコール

認識合わせの提案ちゃんと自分からやってますか？

# 問題提起

若手のエンジニアの中で
先輩エンジニアから
タスク説明とか認識合わせをしましょうって
言われないと会話しない人ってたまにいるんですが

指示待ち人間は先輩評価めっちゃ下がります。

確かにまだ現場に慣れてないし
下手なこと言ったら怒られないか不安やから
待ちになるのも分かるんやけど

逆にみんな指示待ちになりがちやからこそ

自分からタスクくださいって言いに行ったり
ここの部分認識合わせておきたいので
15 分時間もらえませんか？

ってちゃんとコミニケーション取りに行くだけで
先輩評価はめっちゃ上がりますよ。

開発現場においては
自分の直属の先輩に評価して貰えると
それが PM などの上の人に話伝わるから

自然と案件の継続も貰いやすくなるから
積極的にコミニケーション取りに行こ

# 問題拡張

# 解決策

# CTA

---
"
エンジニアに向けたリール動画の台本を作ってください,"✅ 開発 AI が進化して一番被害受けるのが単価高いエンジニアです

常識

非常識

# タイトルコール

開発 AI が進化して一番困るのは
単価が高い 2,3 年目のエンジニアです

# 問題提起

最近、毎週のように開発 AI が進化してて
先月やばいって思ってたサービスでも

今日発表された
このサービスの方がいいやんってなって
代謝が早いです。

あ、もう cursor は解約しました。

# 問題拡張

特に AI によって
効率化されてるのって決められた仕様や設計通りに
開発をするって言う実装作業ですよね。

今まではこの実装作業が
難しかったし、大きいサービス作るためには
たくさんエンジニアが必要だったので

実装ポジションのエンジニアでも
単価高かったです。

しかしだんだんとそっちに高単価払うよりも

レイヤーが高い
ベテランエンジニアの単価を高くして
AI 使って開発してもらった方が
企業としてはコスパがいい事に気づき始めてます。

実際僕が参画してる案件でも
昨年までは人が足りないから
月単価 70 万ぐらいで
エンジニア新しく採用しようかなと思ってましたが
AI のおかげで必要無くなりました。

# 解決策

いま単価 60 万円以上のエンジニアは
実装作業に価値は無くなっていくので

コーディング以外の付加価値をつけないと
必然的に単価は下がります。

どんな経験が必要なのかお伝えしておくと
これから開発する機能を誰に使ってもらって
どうやって売り上げを立てていくかを考える
マーケティングスキルです。

売り上げ作れないエンジニアに
価値は無くなっていくから
絶対に覚えといてください。

# CTA

---
"
エンジニアに向けたリール動画の台本を作ってください,"✅ エラーが絶対解決できる方法教えます

# タイトルコール

プログラミングのエラー
絶対に解決できる方法教えます！

# 問題拡張

エラー解決の時は
めっちゃ大事な考え方があって

最初はエラー箇所周りを探すのはもちろんやねんけど
15 分探して解決できなかった時は

一回全体の視点で見ないと
原因じゃないところを一生探すことになるよ。

例えばフロントで undefined エラーが出て、
ひたすらフロントのコードを探したけど、
実は DB に該当データがなかっただけ
みたいな事ってちょくちょくない？

# 解決策

僕がやってるデバッグの考え方をお伝えすると

今作ってる機能をまず
フロント → バッグ →DB と広い視点で
データがどこまで疎通できてるのかを
まず確認する様にしてください。

例えばさっきの undefined のエラーやったら

VS コードのデバッガーや
console.log でログ出して

・まずフロントからバックにちゃんと疎通できているかを確認する
・次にバックから DB にちゃんと繋がってるか確認する
・DB にちゃんとデータがあるか確認する

みたいな感じで全体像を見てください。

そしたらフロントでバグ起きてたけど
そもそもの原因は DB にデータがなかったとか
データはあったけどサーバーのこの関数のところで
加工処理ミスってたとか

根本原因がわかります。

エラーがなかなか解決できな時ほど
どんどん視点が狭くなっちゃうから

そんな時ほど落ち着いて
全体像をみる様に意識してみて

絶対バグ解決できるから。

---
"
エンジニアに向けたリール動画の台本を作ってください,"✅ 進捗報告の時に今やってる事だけを報告されると PM 側はイラっとします

今やってる事だけ言ってなんか進めてる感出したくなるのはわかるけど

今手持ちのタスクのうち
今これをやってて

これはいつまでに終わりますっていう
全体を聞いてます

# タイトルコール

タスク進捗を報告する時、今やってることだけを報告してませんか？
それめっちゃイラっとされてますよ。

# 問題提起

例えば機能開発のタスクの進捗共有する時に

・新規登録機能の実装を進めてますとか
・一覧取得の実装を進めてます

みたいに
今やってる部分だけ報告されると
結構困ることが多くて

先輩エンジニアが報告の時に知りたいのって
今何をやってるかももちろんやけど

あとタスク何が残ってて
それら含めていつまでに終わらせる予定なのか？

って言う
進めれてないタスクについて
ちゃんと把握しときたいんよね。

# 問題拡張

もし他のタスクが遅れそうなんやったら
違う人にアサインするとか考えれるのに

そこを報告せずに曖昧にされると
マネジメントする側としては
めーっちゃイラってする。

もうほっといてもタスク進めてくれるわってぐらい
信用できるエンジニアならいちいち細かいことは気にせんけど

むしろ自走できないエンジニアほど
報告の仕方をミスってる。

先輩が安心する進捗報告の仕方教えてとくと

・今進めてるタスクと
それがいつまでに終わる予定なのか

それと
・進めれていないタスクが今どれだけあって
それらはいつまでに終わらせる計画なのか

これをセットで報告してあげて

# 解決策

# CTA

---
"
エンジニアに向けたリール動画の台本を作ってください,"✅ 進捗報告上手くいってる時だけやってませんか？

# タイトルコール

エンジニアは上手く言ってる時しか進捗報告しないやつ多すぎです

# 問題提起

これ仕事でも、講座で指導する時でも全部そうやねんけど
タスクの進捗いい時とか
なんか成果が出た時とか

いいことがあった時だけ
報告してくる人いて結構多いんやけど
このパターンは将来落ちやすい。

むしろ上手く言ってない時ほど早く報告すべき。

# 問題拡張

確かに上手くいってない時って
やっぱ自信を持って報告できないのもわかるんやけど

そうすると
より成果が出づらくなるし
成果が出ないからより報告できなくなるって言う
負のループに入るんよね。

指導する側としては
今上手く言ってないことを
ちゃんと報告してくれたら

仕事ならこれはこっちで巻き取ってリカバリーするとか
講座なら、そこで詰まってるんやったら次こういう提案の仕方すると通りやすいよ

とか
何かしら改善策を出してあげれるから
早くいって欲しいんよ。

報告せずに 1 人で悩んで勝手に自爆されると
お互い困るから

上手く言ってない時ほど報告する、
これ明日絶対からやってな

# 解決策

# CTA

マインドセットが
良い結果が出た時だけ報告するだと

よくない時ほどやる

負のループに入る

---
"
エンジニアに向けたリール動画の台本を作ってください,"✅ ぶん投げるようなプルリク出してませんか？

# タイトルコール

先輩にぶん投げるようなプルリク出してませんか？

# 問題提起

アサインされたタスクが終わって
やっとプルリク出して
あー終わったーってなった時に

先輩からめっちゃ指摘が入ったら
テンション下がるかもしれんけど

それ先輩側はもーっとテンション下がってます。

# 問題拡張

レビューで指摘をめっちゃ受けるエンジニアって
プルリクの出し方に問題があると思ってて

今回のタスクで書いたコードの
意図を説明せずに
とりあえずプルリクだけ作って

「レビューお願いします！」

みたいな感じで
ぶん投げるような出し方してない？

これって
先輩からしたらどんな意図で
書かれてるのかとかがわからんから

ローカルで動作確認する作業が増えたり
変更箇所から他に影響がないかチェックする手間が余計に増えたりと

めっちゃ負担になるんですよね。

# 解決策

だからこれからプルリクを出す時は
プルリクにこのファイルはこういう意図で書きました
ってコメント残したり

もし先輩の時間が取れるなら
15 分だけレビューの時間くださいって言って

自分が書いたコードを
一通りどんな流れで実装したのか？を説明する習慣をつけると

自分のスキルも上がるから
自然と先輩からの指摘も減るし
信用が積み重なるから
よりレベルの高い仕事も任せてもらえるようになります。

# CTA

---
"
エンジニアに向けたリール動画の台本を作ってください,"✅AI にコード書かせたけどそれバグないかちゃんと自分で責任もてますか？

# タイトルコール

AI に書かせたコードそのままプルリク出してないですか？

# 問題提起

最近は AI 使って開発することが増えてきて
今までに比べたら格段に
開発スピード上がったと思うけど

ちゃんと書いてもらったらコードが
どんなロジックで動いてるのか？
ちゃんとバグがないものになってるか？

自分で理解してから
プルリク出してますか？

# 問題拡張

これレビューする側としては
コードを見た時に
あ、これ AI に書かせたんやろなってのは正直わかります。

AI に書かせること自体は
全然いいし、効率も上がるから
どんどん活用して欲しいとは思いつつも

なんかバグがあった時に
このコードはどんな意図で動いてるのか？
って聞いて

答えれなかったらアウトやなって思います。

# 解決策

AI はあくまでコードを書くっていう作業の部分を
効率化するものであって

どんなコードを書くべきかとか
良し悪しを判断する
思考の部分も AI に丸投げすると

AI 以下のエンジニアになってしまうから気をつけてください。

# CTA

AI にコード書かせたけど
そのコードがどう動いてるのか
仕組みをわからずにとりあえず書きましたって
出される

レビューする側としては
本人も悪いと思ってないし
もちろん AI が責任取るわけでもないので
行き場のない怒りを通り越して絶望します

---

"
エンジニアに向けたリール動画の台本を作ってください,"✅ エラー解決できない時こんなやり方してないですか？

常識

非常識

# タイトルコール

フロントで undefined エラーが出て、
ひたすらフロントのコードを探したけど、
実は DB に該当データがなかっただけ…なんてこと、
ありませんか？

# 問題拡張

エラー解決の時は
めっちゃ大事な考え方があって

最初はエラー箇所周りを探すのはもちろんやねんけど
15 分探して解決できなかった時は

一回全体の視点で見ないと
原因じゃないところを一生探すことになるよ。

# 解決策

具体的に僕がやってる
デバッグの考え方をお伝えすると

今作ってる機能をまず
フロント → バッグ →DB と広い視点で
データがどこまで疎通できてるのかを
まず確認する様にしてください。

例えばさっきの undefined のエラーやったら

VS コードのデバッガーや
console.log でログ出して

・まずフロントからバックにちゃんと疎通できているかを確認する
・次にバックから DB にちゃんと繋がってるか確認する
・DB にちゃんとデータがあるか確認する

みたいな感じで全体像を見てください。

そしたらフロントでバグ起きてたけど
そもそもの原因は DB にデータがなかったとか
データはあったけどサーバーのこの関数のところで
加工処理ミスってたとか

根本原因がわかります。

エラーがなかなか解決できな時ほど
どんどん視点が狭くなっちゃうから

そんな時ほど落ち着いて
全体像をみる様に意識してみて

絶対バグ解決できるから。

# CTA

---
"
エンジニアに向けたリール動画の台本を作ってください,"✅20 代後半でリーダー経験がないエンジニアはやばいって話

# タイトルコード

20 代後半でリーダー経験がないエンジニアはやばいです。

# 問題提起

普通は社会人やってたら 20 代後半ぐらいには
勤続 5 年目ぐらいになって
何かしら部下や後輩を持って指導する
責任者やってるのが当たり前やけど

今エンジニアの人って意外と経験な
理由を説明すると

大体がの人が
新卒で 22 歳ぐらいに入社した会社で 1、2 年勤めたけど
何かしらの理由でエンジニアになることを決意して
転職したよね。

で、24 歳ぐらいから会社員エンジニアになるわけやけど
ここも 1、2 年実務経験積んだら
独立するために退職する

26 ぐらいにフリーランスになって
そこから 1 年に一回くらいペースで
案件変えていく。

大体こんな感じやねんけど
つまりずっと 1、2 年のペースで環境変えてるから
いつまでも新人ポジションで
それが当たり前になっちゃってるんよね。

この状況が結構危険で
普通やったら 20 代後半以降は
リーダーになったり後輩を持ったりと
責任がある仕事が求められるし
30 代以降とかもはやそれが当たり前になります。

要は責任あるポジションができるかどうかやから
これから追いつきたい人は

今の現場で積極的にリーダーポジション狙いに行くか

それがハードル高いなら
1 件 5 万円でいいから個人で案件とって
やり切る経験をすると

責任者としての自覚が出てくるからおすすめです

---
"
